,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
24020,2000-01-04,Egypt,Togo,2.0,1.0,Friendly,Aswan,Egypt,False
24021,2000-01-07,Tunisia,Togo,7.0,0.0,Friendly,Tunis,Tunisia,False
24022,2000-01-08,Trinidad and Tobago,Canada,0.0,0.0,Friendly,Port of Spain,Trinidad and Tobago,False
24023,2000-01-09,Burkina Faso,Gabon,1.0,1.0,Friendly,Ouagadougou,Burkina Faso,False
24024,2000-01-09,Guatemala,Armenia,1.0,1.0,Friendly,Los Angeles,United States,True
24025,2000-01-09,Ivory Coast,Egypt,2.0,0.0,Friendly,Abidjan,Ivory Coast,False
24026,2000-01-09,Mexico,Iran,2.0,1.0,Friendly,Oakland,United States,True
24027,2000-01-11,Bermuda,Canada,0.0,2.0,Friendly,Hamilton,Bermuda,False
24028,2000-01-11,Burkina Faso,Cameroon,2.0,2.0,Friendly,Ouagadougou,Burkina Faso,False
24029,2000-01-13,Senegal,Cameroon,0.0,0.0,Friendly,Dakar,Senegal,False
24030,2000-01-14,China PR,New Zealand,1.0,0.0,Friendly,Guangzhou,China PR,False
24031,2000-01-16,Jamaica,New Zealand,2.0,1.0,Friendly,Guangzhou,China PR,True
24032,2000-01-16,United States,Iran,1.0,1.0,Friendly,Pasadena,United States,False
24033,2000-01-18,Ghana,Tunisia,2.0,0.0,Friendly,Accra,Ghana,False
24034,2000-01-18,Morocco,Trinidad and Tobago,1.0,0.0,Friendly,El Jadida,Morocco,False
24035,2000-01-19,Panama,Guatemala,2.0,0.0,Friendly,Panama City,Panama,False
24036,2000-01-19,Togo,Egypt,1.0,0.0,Friendly,Lomé,Togo,False
24037,2000-01-20,Burkina Faso,Algeria,1.0,0.0,Friendly,Ouagadougou,Burkina Faso,False
24038,2000-01-20,Malta,Qatar,2.0,0.0,Friendly,Attard,Malta,False
24039,2000-01-21,New Zealand,South Korea,0.0,1.0,Friendly,Auckland,New Zealand,False
24040,2000-01-22,Ghana,Cameroon,1.0,1.0,African Cup of Nations,Accra,Ghana,False
24041,2000-01-23,China PR,Philippines,8.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,True
24042,2000-01-23,Egypt,Zambia,2.0,0.0,African Cup of Nations,Kano,Nigeria,True
24043,2000-01-23,New Zealand,South Korea,0.0,0.0,Friendly,Palmerston North,New Zealand,False
24044,2000-01-23,Nigeria,Tunisia,4.0,2.0,African Cup of Nations,Lagos,Nigeria,False
24045,2000-01-23,South Africa,Gabon,3.0,1.0,African Cup of Nations,Kumasi,Ghana,True
24046,2000-01-23,Vietnam,Guam,11.0,0.0,AFC Asian Cup qualification,Hanoi,Vietnam,False
24047,2000-01-24,DR Congo,Algeria,0.0,0.0,African Cup of Nations,Kumasi,Ghana,True
24048,2000-01-24,Ivory Coast,Togo,1.0,1.0,African Cup of Nations,Accra,Ghana,True
24049,2000-01-24,Qatar,Bosnia and Herzegovina,2.0,0.0,Friendly,Doha,Qatar,False
24050,2000-01-25,Burkina Faso,Senegal,1.0,3.0,African Cup of Nations,Kano,Nigeria,True
24051,2000-01-25,Morocco,Congo,1.0,0.0,African Cup of Nations,Lagos,Nigeria,True
