,date,home_team,away_team,winner,first_shooter
262,2000-02-04,Romania,Georgia,Romania,
263,2000-02-12,South Africa,Tunisia,South Africa,South Africa
264,2000-02-13,Nigeria,Cameroon,Cameroon,Nigeria
265,2000-02-19,United States,Colombia,Colombia,United States
266,2000-03-19,Suriname,Saint Lucia,Suriname,
267,2000-04-29,British Virgin Islands,Sint Maarten,British Virgin Islands,
268,2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,
269,2000-05-10,Maldives,Sri Lanka,Sri Lanka,
270,2000-05-11,Senegal,Mali,Senegal,
271,2000-05-20,Malawi,Angola,Angola,
272,2000-05-21,Barbados,Cuba,Barbados,
273,2000-06-04,France,Japan,France,France
274,2000-06-07,Iran,Egypt,Egypt,
275,2000-06-11,Lesotho,Zambia,Lesotho,
276,2000-06-29,Netherlands,Italy,Italy,Italy
277,2000-07-14,Libya,Chad,Libya,
278,2000-07-16,Mozambique,Lesotho,Lesotho,
279,2000-09-03,Togo,Sierra Leone,Togo,
280,2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,
281,2000-10-28,Kenya,Uganda,Uganda,
282,2000-12-02,Ethiopia,Rwanda,Ethiopia,
283,2001-01-17,China PR,Egypt,Egypt,
284,2001-01-27,South Korea,Paraguay,South Korea,
285,2001-02-11,Eswatini,Zambia,Eswatini,
286,2001-07-12,Ynys Môn,Jersey,Ynys Môn,
287,2001-07-13,Guernsey,Ynys Môn,Guernsey,
288,2001-07-29,Uruguay,Honduras,Honduras,Uruguay
289,2001-08-03,China PR,North Korea,North Korea,
290,2001-08-03,Kuwait,Trinidad and Tobago,Kuwait,
291,2001-08-05,Kuwait,North Korea,North Korea,
292,2001-08-18,Zambia,Angola,Angola,
293,2001-10-24,Kenya,Uganda,Kenya,
294,2001-10-24,Tanzania,DR Congo,Tanzania,
295,2001-12-18,Ethiopia,Burundi,Ethiopia,
296,2002-01-06,Martinique,Haiti,Martinique,
297,2002-01-26,Canada,Martinique,Canada,Canada
298,2002-01-27,Mexico,South Korea,South Korea,South Korea
299,2002-01-30,United States,Canada,United States,United States
300,2002-02-10,Senegal,Cameroon,Cameroon,Cameroon
301,2002-02-12,Cyprus,Switzerland,Cyprus,
302,2002-02-15,China PR,Slovenia,Slovenia,
303,2002-02-16,Thailand,North Korea,North Korea,
304,2002-03-30,Botswana,South Africa,South Africa,
305,2002-05-17,Russia,Belarus,Belarus,
306,2002-05-19,Russia,Serbia,Serbia,
307,2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland
308,2002-06-22,South Korea,Spain,South Korea,South Korea
309,2002-07-21,South Africa,Madagascar,South Africa,
310,2002-09-05,Iraq,Iran,Iraq,
311,2002-09-07,Syria,Iran,Iran,
